,has_ID,has_officialName,has_municipality,has_province,has_country,has_website,has_latitude,has_longitude,has_elevation,has_facilityType,has_uploadDate,has_addr:street,has_addr:housenumber,has_accessibleElevator,has_reservedParkinglots,has_guidanceSystem,has_accessibleToilette,has_steps,has_ramp,has_staircaseSlope,has_levelOfAccessibility
0,ab_5350, BAR CHICCO D'ORO,Trento,TN,Italia,,46.0760928,11.1194082,200.0,Bar,2010-07-20,Corso Buonarroti,12/2,False,True,False,False,False,True,Dislivello in percentuale: 11.0; Lunghezza in cm.: 87.0,yes
1,ab_271,IL PAPIRO LIBRI & CAFFE',Trento,TN,Italia,,46.06786,11.12563,241.0,Bar,2013-01-14,Via Galilei,5,False,True,False,False,False,True,Dislivello in percentuale: 16.0; Lunghezza in cm.: 53.0,yes
2,ab_3782,A posto - La tua auto come nuova,Trento,TN,Italia,www.aposto.it,46.0676211,11.1172199,200.0,Riparazione Autovetture,2010-08-09,Via Tommaso Gar,27/2,False,False,False,False,False,False, ,no
3,ab_3813,A.C.I.S.J.F. Associazione Casa Tridentina della Giovane,Trento,TN,Italia,www.acisjftrento.it,46.069067,11.1185694,200.0,Associazioni,2013-01-21,Via Prepositura,58,False,False,False,False,False,True,Dislivello in percentuale: 7.8; Lunghezza in cm.: 1300.0,limited
4,ab_2894,A.D.M.O. Associazione Donatori Midollo Osseo,Trento,TN,Italia,www.admotrentino.it,46.060698,11.1236871,180.0,Associazioni,2010-05-21,Via Sighele,7,False,True,False,False,True,False, ,yes
5,ab_5225,A.E.T. ASSOCIAZIONE EMOFILICI TRENTINI,Trento,TN,Italia,www.associazioneemofilicitrentini.com,46.0579773,11.120349,200.0,Associazioni,2010-07-16,Via Vittorio Veneto,24,False,True,False,False,False,False, ,limited
6,ab_2906,"A.I.D.O. Associazione Italiana per la Donazione di Organi, Tessuti e Cellule",Trento,TN,Italia,www.aido.it/trento,46.060369,11.123736,180.0,Associazioni,2010-05-21,Via Sighele,7,False,True,False,False,False,False, ,limited
7,ab_6217,A.I.S.L.A onlus - Associazione Italiana Sclerosi Laterale Amiotrofica,Trento,TN,Italia,www.asilatrentinoaltoadige.it,46.048666,11.1290636,200.0,Associazioni,2010-08-09,Via Fermi,23/D,False,True,False,False,False,False, ,limited
8,ab_14958,A.I.S.L.A. ASSOCIAZIONE ITALIANA SCLEROSI LATERALE AMIOTROFICA,Trento,TN,Italia,,46.058677,11.121518,200.0,Associazioni,2019-06-10,Via Bronzetti,29,False,True,False,True,False,True,Dislivello in percentuale: 7.0; Lunghezza in cm.: 470.0,yes
9,ab_2889,A.L.I.R. Associazione per la Lotta Insufficienza Respiratoria,Trento,TN,Italia,www.alirtrentino.it,46.065148,11.122281,180.0,Associazioni,2010-05-24,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
